 >REASHP: option FROM_FILE
       650 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.02435  -0.06320  -0.04650 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    574    5    6    4 1 1 1
    575    5    6    5 1 1 1
    576    5    6    6 1 1 1
    577    5    6    7 1 1 1
    578    5    6    8 1 1 1
    579    5    6    9 1 1 1
    580    5    6   10 1 1 1
    581    5    7    1 1 1 1
    582    5    7    2 1 1 1
    583    5    7    3 1 1 1
    584    5    7    4 1 1 1
    585    5    7    5 1 1 1
    586    5    7    6 1 1 1
    587    5    7    7 1 1 1
    588    5    7    8 1 1 1
    589    5    7    9 1 1 1
    590    5    7   10 1 1 1
    591    5    8    1 1 1 1
    592    5    8    2 1 1 1
    593    5    8    3 1 1 1
    594    5    8    4 1 1 1
    595    5    8    5 1 1 1
    596    5    8    6 1 1 1
    597    5    8    7 1 1 1
    598    5    8    8 1 1 1
    599    5    8    9 1 1 1
    600    5    8   10 1 1 1
    601    5    9    1 1 1 1
    602    5    9    2 1 1 1
    603    5    9    3 1 1 1
    604    5    9    4 1 1 1
    605    5    9    5 1 1 1
    606    5    9    6 1 1 1
    607    5    9    7 1 1 1
    608    5    9    8 1 1 1
    609    5    9    9 1 1 1
    610    5    9   10 1 1 1
    611    5   10    1 1 1 1
    612    5   10    2 1 1 1
    613    5   10    3 1 1 1
    614    5   10    4 1 1 1
    615    5   10    5 1 1 1
    616    5   10    6 1 1 1
    617    5   10    7 1 1 1
    618    5   10    8 1 1 1
    619    5   10    9 1 1 1
    620    5   10   10 1 1 1
    621    5   11    1 1 1 1
    622    5   11    2 1 1 1
    623    5   11    3 1 1 1
    624    5   11    4 1 1 1
    625    5   11    5 1 1 1
    626    5   11    6 1 1 1
    627    5   11    7 1 1 1
    628    5   11    8 1 1 1
    629    5   11    9 1 1 1
    630    5   11   10 1 1 1
    631    5   12    1 1 1 1
    632    5   12    2 1 1 1
    633    5   12    3 1 1 1
    634    5   12    4 1 1 1
    635    5   12    5 1 1 1
    636    5   12    6 1 1 1
    637    5   12    7 1 1 1
    638    5   12    8 1 1 1
    639    5   12    9 1 1 1
    640    5   12   10 1 1 1
    641    5   13    1 1 1 1
    642    5   13    2 1 1 1
    643    5   13    3 1 1 1
    644    5   13    4 1 1 1
    645    5   13    5 1 1 1
    646    5   13    6 1 1 1
    647    5   13    7 1 1 1
    648    5   13    8 1 1 1
    649    5   13    9 1 1 1
    650    5   13   10 1 1 1
