 >TARREC   rectangular prism; AX,AY,AZ= 41.9000 10.0000 10.0000
      4200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -42.50000  -5.50000  -5.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    475  13   2   2 1 1 1
    476  14   2   2 1 1 1
    477  15   2   2 1 1 1
    478  16   2   2 1 1 1
    479  17   2   2 1 1 1
    480  18   2   2 1 1 1
    481  19   2   2 1 1 1
    482  20   2   2 1 1 1
    483  21   2   2 1 1 1
    484  22   2   2 1 1 1
    485  23   2   2 1 1 1
    486  24   2   2 1 1 1
    487  25   2   2 1 1 1
    488  26   2   2 1 1 1
    489  27   2   2 1 1 1
    490  28   2   2 1 1 1
    491  29   2   2 1 1 1
    492  30   2   2 1 1 1
    493  31   2   2 1 1 1
    494  32   2   2 1 1 1
    495  33   2   2 1 1 1
    496  34   2   2 1 1 1
    497  35   2   2 1 1 1
    498  36   2   2 1 1 1
    499  37   2   2 1 1 1
    500  38   2   2 1 1 1
    501  39   2   2 1 1 1
    502  40   2   2 1 1 1
    503  41   2   2 1 1 1
    504  42   2   2 1 1 1
    505   1   3   2 1 1 1
    506   2   3   2 1 1 1
    507   3   3   2 1 1 1
    508   4   3   2 1 1 1
    509   5   3   2 1 1 1
    510   6   3   2 1 1 1
    511   7   3   2 1 1 1
    512   8   3   2 1 1 1
    513   9   3   2 1 1 1
    514  10   3   2 1 1 1
    515  11   3   2 1 1 1
    516  12   3   2 1 1 1
    517  13   3   2 1 1 1
    518  14   3   2 1 1 1
    519  15   3   2 1 1 1
    520  16   3   2 1 1 1
    521  17   3   2 1 1 1
    522  18   3   2 1 1 1
    523  19   3   2 1 1 1
    524  20   3   2 1 1 1
    525  21   3   2 1 1 1
    526  22   3   2 1 1 1
    527  23   3   2 1 1 1
    528  24   3   2 1 1 1
    529  25   3   2 1 1 1
    530  26   3   2 1 1 1
    531  27   3   2 1 1 1
    532  28   3   2 1 1 1
    533  29   3   2 1 1 1
    534  30   3   2 1 1 1
    535  31   3   2 1 1 1
    536  32   3   2 1 1 1
    537  33   3   2 1 1 1
    538  34   3   2 1 1 1
    539  35   3   2 1 1 1
    540  36   3   2 1 1 1
    541  37   3   2 1 1 1
    542  38   3   2 1 1 1
    543  39   3   2 1 1 1
