 >TARREC   rectangular prism; AX,AY,AZ= 16.0000 16.0000 16.0000
      4096 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000  -8.50000  -8.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    658   2  10   3 1 1 1
    659   3  10   3 1 1 1
    660   4  10   3 1 1 1
    661   5  10   3 1 1 1
    662   6  10   3 1 1 1
    663   7  10   3 1 1 1
    664   8  10   3 1 1 1
    665   9  10   3 1 1 1
    666  10  10   3 1 1 1
    667  11  10   3 1 1 1
    668  12  10   3 1 1 1
    669  13  10   3 1 1 1
    670  14  10   3 1 1 1
    671  15  10   3 1 1 1
    672  16  10   3 1 1 1
    673   1  11   3 1 1 1
    674   2  11   3 1 1 1
    675   3  11   3 1 1 1
    676   4  11   3 1 1 1
    677   5  11   3 1 1 1
    678   6  11   3 1 1 1
    679   7  11   3 1 1 1
    680   8  11   3 1 1 1
    681   9  11   3 1 1 1
    682  10  11   3 1 1 1
    683  11  11   3 1 1 1
    684  12  11   3 1 1 1
    685  13  11   3 1 1 1
    686  14  11   3 1 1 1
    687  15  11   3 1 1 1
    688  16  11   3 1 1 1
    689   1  12   3 1 1 1
    690   2  12   3 1 1 1
    691   3  12   3 1 1 1
    692   4  12   3 1 1 1
    693   5  12   3 1 1 1
    694   6  12   3 1 1 1
    695   7  12   3 1 1 1
    696   8  12   3 1 1 1
    697   9  12   3 1 1 1
    698  10  12   3 1 1 1
    699  11  12   3 1 1 1
    700  12  12   3 1 1 1
    701  13  12   3 1 1 1
    702  14  12   3 1 1 1
    703  15  12   3 1 1 1
    704  16  12   3 1 1 1
    705   1  13   3 1 1 1
    706   2  13   3 1 1 1
    707   3  13   3 1 1 1
    708   4  13   3 1 1 1
    709   5  13   3 1 1 1
    710   6  13   3 1 1 1
    711   7  13   3 1 1 1
    712   8  13   3 1 1 1
    713   9  13   3 1 1 1
    714  10  13   3 1 1 1
    715  11  13   3 1 1 1
    716  12  13   3 1 1 1
    717  13  13   3 1 1 1
    718  14  13   3 1 1 1
    719  15  13   3 1 1 1
    720  16  13   3 1 1 1
    721   1  14   3 1 1 1
    722   2  14   3 1 1 1
    723   3  14   3 1 1 1
    724   4  14   3 1 1 1
    725   5  14   3 1 1 1
    726   6  14   3 1 1 1
    727   7  14   3 1 1 1
    728   8  14   3 1 1 1
    729   9  14   3 1 1 1
    730  10  14   3 1 1 1
    731  11  14   3 1 1 1
    732  12  14   3 1 1 1
    733  13  14   3 1 1 1
    734  14  14   3 1 1 1
    735  15  14   3 1 1 1
    736  16  14   3 1 1 1
    737   1  15   3 1 1 1
    738   2  15   3 1 1 1
    739   3  15   3 1 1 1
    740   4  15   3 1 1 1
    741   5  15   3 1 1 1
    742   6  15   3 1 1 1
    743   7  15   3 1 1 1
    744   8  15   3 1 1 1
    745   9  15   3 1 1 1
    746  10  15   3 1 1 1
    747  11  15   3 1 1 1
    748  12  15   3 1 1 1
    749  13  15   3 1 1 1
    750  14  15   3 1 1 1
    751  15  15   3 1 1 1
    752  16  15   3 1 1 1
    753   1  16   3 1 1 1
    754   2  16   3 1 1 1
    755   3  16   3 1 1 1
    756   4  16   3 1 1 1
    757   5  16   3 1 1 1
    758   6  16   3 1 1 1
    759   7  16   3 1 1 1
    760   8  16   3 1 1 1
    761   9  16   3 1 1 1
    762  10  16   3 1 1 1
    763  11  16   3 1 1 1
    764  12  16   3 1 1 1
    765  13  16   3 1 1 1
    766  14  16   3 1 1 1
    767  15  16   3 1 1 1
    768  16  16   3 1 1 1
    769   1   1   4 1 1 1
    770   2   1   4 1 1 1
    771   3   1   4 1 1 1
    772   4   1   4 1 1 1
    773   5   1   4 1 1 1
    774   6   1   4 1 1 1
    775   7   1   4 1 1 1
    776   8   1   4 1 1 1
    777   9   1   4 1 1 1
    778  10   1   4 1 1 1
    779  11   1   4 1 1 1
    780  12   1   4 1 1 1
    781  13   1   4 1 1 1
    782  14   1   4 1 1 1
    783  15   1   4 1 1 1
    784  16   1   4 1 1 1
    785   1   2   4 1 1 1
    786   2   2   4 1 1 1
    787   3   2   4 1 1 1
    788   4   2   4 1 1 1
    789   5   2   4 1 1 1
    790   6   2   4 1 1 1
    791   7   2   4 1 1 1
    792   8   2   4 1 1 1
    793   9   2   4 1 1 1
    794  10   2   4 1 1 1
    795  11   2   4 1 1 1
    796  12   2   4 1 1 1
    797  13   2   4 1 1 1
    798  14   2   4 1 1 1
    799  15   2   4 1 1 1
    800  16   2   4 1 1 1
    801   1   3   4 1 1 1
    802   2   3   4 1 1 1
    803   3   3   4 1 1 1
    804   4   3   4 1 1 1
    805   5   3   4 1 1 1
    806   6   3   4 1 1 1
    807   7   3   4 1 1 1
    808   8   3   4 1 1 1
    809   9   3   4 1 1 1
    810  10   3   4 1 1 1
    811  11   3   4 1 1 1
    812  12   3   4 1 1 1
    813  13   3   4 1 1 1
    814  14   3   4 1 1 1
    815  15   3   4 1 1 1
    816  16   3   4 1 1 1
    817   1   4   4 1 1 1
    818   2   4   4 1 1 1
    819   3   4   4 1 1 1
    820   4   4   4 1 1 1
    821   5   4   4 1 1 1
    822   6   4   4 1 1 1
    823   7   4   4 1 1 1
    824   8   4   4 1 1 1
    825   9   4   4 1 1 1
    826  10   4   4 1 1 1
    827  11   4   4 1 1 1
    828  12   4   4 1 1 1
    829  13   4   4 1 1 1
    830  14   4   4 1 1 1
    831  15   4   4 1 1 1
    832  16   4   4 1 1 1
    833   1   5   4 1 1 1
    834   2   5   4 1 1 1
    835   3   5   4 1 1 1
    836   4   5   4 1 1 1
    837   5   5   4 1 1 1
    838   6   5   4 1 1 1
    839   7   5   4 1 1 1
    840   8   5   4 1 1 1
    841   9   5   4 1 1 1
    842  10   5   4 1 1 1
    843  11   5   4 1 1 1
    844  12   5   4 1 1 1
    845  13   5   4 1 1 1
    846  14   5   4 1 1 1
    847  15   5   4 1 1 1
    848  16   5   4 1 1 1
    849   1   6   4 1 1 1
    850   2   6   4 1 1 1
    851   3   6   4 1 1 1
    852   4   6   4 1 1 1
    853   5   6   4 1 1 1
    854   6   6   4 1 1 1
    855   7   6   4 1 1 1
    856   8   6   4 1 1 1
    857   9   6   4 1 1 1
    858  10   6   4 1 1 1
