 >TARREC   rectangular prism; AX,AY,AZ= 10.0000 10.0000 41.9000
      4200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -10.50000  -5.50000 -21.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    689   9   9   7 1 1 1
    690  10   9   7 1 1 1
    691   1  10   7 1 1 1
    692   2  10   7 1 1 1
    693   3  10   7 1 1 1
    694   4  10   7 1 1 1
    695   5  10   7 1 1 1
    696   6  10   7 1 1 1
    697   7  10   7 1 1 1
    698   8  10   7 1 1 1
    699   9  10   7 1 1 1
    700  10  10   7 1 1 1
    701   1   1   8 1 1 1
    702   2   1   8 1 1 1
    703   3   1   8 1 1 1
    704   4   1   8 1 1 1
    705   5   1   8 1 1 1
    706   6   1   8 1 1 1
    707   7   1   8 1 1 1
    708   8   1   8 1 1 1
    709   9   1   8 1 1 1
    710  10   1   8 1 1 1
    711   1   2   8 1 1 1
    712   2   2   8 1 1 1
    713   3   2   8 1 1 1
    714   4   2   8 1 1 1
    715   5   2   8 1 1 1
    716   6   2   8 1 1 1
    717   7   2   8 1 1 1
    718   8   2   8 1 1 1
    719   9   2   8 1 1 1
    720  10   2   8 1 1 1
    721   1   3   8 1 1 1
    722   2   3   8 1 1 1
    723   3   3   8 1 1 1
    724   4   3   8 1 1 1
    725   5   3   8 1 1 1
    726   6   3   8 1 1 1
    727   7   3   8 1 1 1
    728   8   3   8 1 1 1
    729   9   3   8 1 1 1
    730  10   3   8 1 1 1
    731   1   4   8 1 1 1
    732   2   4   8 1 1 1
    733   3   4   8 1 1 1
    734   4   4   8 1 1 1
    735   5   4   8 1 1 1
    736   6   4   8 1 1 1
    737   7   4   8 1 1 1
    738   8   4   8 1 1 1
    739   9   4   8 1 1 1
    740  10   4   8 1 1 1
    741   1   5   8 1 1 1
    742   2   5   8 1 1 1
    743   3   5   8 1 1 1
    744   4   5   8 1 1 1
    745   5   5   8 1 1 1
    746   6   5   8 1 1 1
    747   7   5   8 1 1 1
    748   8   5   8 1 1 1
    749   9   5   8 1 1 1
    750  10   5   8 1 1 1
    751   1   6   8 1 1 1
    752   2   6   8 1 1 1
    753   3   6   8 1 1 1
    754   4   6   8 1 1 1
    755   5   6   8 1 1 1
    756   6   6   8 1 1 1
    757   7   6   8 1 1 1
    758   8   6   8 1 1 1
    759   9   6   8 1 1 1
    760  10   6   8 1 1 1
    761   1   7   8 1 1 1
    762   2   7   8 1 1 1
    763   3   7   8 1 1 1
    764   4   7   8 1 1 1
    765   5   7   8 1 1 1
    766   6   7   8 1 1 1
    767   7   7   8 1 1 1
    768   8   7   8 1 1 1
    769   9   7   8 1 1 1
    770  10   7   8 1 1 1
    771   1   8   8 1 1 1
    772   2   8   8 1 1 1
    773   3   8   8 1 1 1
    774   4   8   8 1 1 1
    775   5   8   8 1 1 1
    776   6   8   8 1 1 1
    777   7   8   8 1 1 1
    778   8   8   8 1 1 1
    779   9   8   8 1 1 1
    780  10   8   8 1 1 1
    781   1   9   8 1 1 1
    782   2   9   8 1 1 1
    783   3   9   8 1 1 1
    784   4   9   8 1 1 1
    785   5   9   8 1 1 1
    786   6   9   8 1 1 1
    787   7   9   8 1 1 1
    788   8   9   8 1 1 1
    789   9   9   8 1 1 1
    790  10   9   8 1 1 1
    791   1  10   8 1 1 1
    792   2  10   8 1 1 1
    793   3  10   8 1 1 1
    794   4  10   8 1 1 1
    795   5  10   8 1 1 1
    796   6  10   8 1 1 1
    797   7  10   8 1 1 1
    798   8  10   8 1 1 1
    799   9  10   8 1 1 1
    800  10  10   8 1 1 1
    801   1   1   9 1 1 1
    802   2   1   9 1 1 1
    803   3   1   9 1 1 1
    804   4   1   9 1 1 1
    805   5   1   9 1 1 1
    806   6   1   9 1 1 1
    807   7   1   9 1 1 1
    808   8   1   9 1 1 1
    809   9   1   9 1 1 1
    810  10   1   9 1 1 1
    811   1   2   9 1 1 1
    812   2   2   9 1 1 1
    813   3   2   9 1 1 1
    814   4   2   9 1 1 1
    815   5   2   9 1 1 1
    816   6   2   9 1 1 1
    817   7   2   9 1 1 1
    818   8   2   9 1 1 1
    819   9   2   9 1 1 1
    820  10   2   9 1 1 1
    821   1   3   9 1 1 1
    822   2   3   9 1 1 1
    823   3   3   9 1 1 1
    824   4   3   9 1 1 1
    825   5   3   9 1 1 1
    826   6   3   9 1 1 1
    827   7   3   9 1 1 1
    828   8   3   9 1 1 1
    829   9   3   9 1 1 1
    830  10   3   9 1 1 1
    831   1   4   9 1 1 1
    832   2   4   9 1 1 1
    833   3   4   9 1 1 1
    834   4   4   9 1 1 1
    835   5   4   9 1 1 1
    836   6   4   9 1 1 1
    837   7   4   9 1 1 1
    838   8   4   9 1 1 1
    839   9   4   9 1 1 1
    840  10   4   9 1 1 1
    841   1   5   9 1 1 1
    842   2   5   9 1 1 1
    843   3   5   9 1 1 1
    844   4   5   9 1 1 1
    845   5   5   9 1 1 1
    846   6   5   9 1 1 1
    847   7   5   9 1 1 1
    848   8   5   9 1 1 1
    849   9   5   9 1 1 1
    850  10   5   9 1 1 1
    851   1   6   9 1 1 1
    852   2   6   9 1 1 1
    853   3   6   9 1 1 1
    854   4   6   9 1 1 1
    855   5   6   9 1 1 1
    856   6   6   9 1 1 1
    857   7   6   9 1 1 1
    858   8   6   9 1 1 1
